# step Upe Ubond  Pxx Pyy Pzz Pxy Pxz Pyz Ugauss[0] Ugauss[1] Ugauss[2] 
35000 3.54922e+06 606571 3.97975 3.98256 3.71612 0.000656909 -0.000445049 0.000815572 1.43194e+06 401781 1.10893e+06 2.93817e-35 
36000 3.54863e+06 606184 3.98114 3.98215 3.71638 0.00112843 0.000657484 0.00055028 1.43128e+06 402514 1.10865e+06 2.93817e-35 
37000 3.54995e+06 607283 3.98093 3.98101 3.71455 -0.000749219 -0.000494386 -0.000237783 1.43236e+06 401936 1.10838e+06 2.93817e-35 
38000 3.54931e+06 606702 3.98135 3.98261 3.71523 -0.00067053 -0.000578658 5.79604e-05 1.43144e+06 402689 1.10849e+06 2.93817e-35 
39000 3.54829e+06 605838 3.98191 3.98391 3.71519 -0.000135743 -7.66805e-05 -0.00160488 1.43231e+06 400486 1.10965e+06 2.93817e-35 
40000 3.55039e+06 607602 3.9819 3.97931 3.7144 5.58912e-05 0.000103735 -0.00148677 1.43377e+06 398580 1.11044e+06 2.93817e-35 
41000 3.54845e+06 605871 3.98067 3.98359 3.71609 -0.00162356 0.00104345 -2.20327e-05 1.43259e+06 399089 1.1109e+06 2.93817e-35 
42000 3.54836e+06 605784 3.98115 3.98197 3.71852 6.12011e-05 -0.000454426 0.000505669 1.43262e+06 399916 1.11004e+06 2.93817e-35 
43000 3.54829e+06 605799 3.98226 3.98098 3.71813 0.000667424 0.00090604 0.00149543 1.43192e+06 399070 1.1115e+06 2.93817e-35 
44000 3.54873e+06 606282 3.98186 3.98237 3.71586 -0.000253535 0.00127837 0.00251327 1.43189e+06 403620 1.10693e+06 2.93817e-35 
45000 3.54956e+06 606875 3.98247 3.98126 3.71369 0.000975507 0.00131574 0.00118542 1.43351e+06 399105 1.11008e+06 2.93817e-35 
46000 3.54857e+06 605992 3.98162 3.98416 3.71509 -0.000830012 -0.00108031 9.50722e-05 1.43245e+06 400182 1.10995e+06 2.93817e-35 
47000 3.54879e+06 606093 3.98214 3.98169 3.71582 -0.00131825 -7.84809e-05 0.0007979 1.43268e+06 403226 1.10679e+06 2.93817e-35 
48000 3.54927e+06 606848 3.98149 3.98143 3.71554 -0.00119128 0.000498872 -0.000357014 1.43256e+06 399966 1.1099e+06 2.93817e-35 
49000 3.54833e+06 605535 3.98438 3.9823 3.71531 0.000978525 -1.5348e-05 -0.000875662 1.43408e+06 397754 1.11097e+06 2.93817e-35 
50000 3.54728e+06 604932 3.98062 3.98703 3.71551 0.000818452 -0.00174805 -0.00204117 1.43323e+06 398768 1.11035e+06 2.93817e-35 
51000 3.55057e+06 607914 3.97979 3.98043 3.71474 0.000435262 -0.00123264 -0.000480548 1.43286e+06 400187 1.10961e+06 2.93817e-35 
52000 3.54816e+06 605445 3.98153 3.98379 3.71701 -8.8702e-05 -0.000688951 -0.00121576 1.43317e+06 400458 1.10909e+06 2.93817e-35 
53000 3.54882e+06 606301 3.98125 3.98218 3.71621 -0.00169369 -0.00136962 0.000375155 1.43246e+06 399838 1.11022e+06 2.93817e-35 
54000 3.5474e+06 604796 3.98259 3.98414 3.71785 0.000751711 -0.0014531 0.000192324 1.43269e+06 401084 1.10883e+06 2.93817e-35 
55000 3.54866e+06 606100 3.981 3.98276 3.71624 4.85519e-05 -0.00111046 -0.000846862 1.43328e+06 400207 1.10907e+06 2.93817e-35 
