# step Upe Ubond  Pxx Pyy Pzz Pxy Pxz Pyz Ugauss[0] Ugauss[1] Ugauss[2] 
0 4.57143e+06 1.13796e+06 3.5974 3.58179 3.59049 -0.00238776 -0.000690097 -0.00137453 1.12625e+06 1.52357e+06 783652 2.93817e-35 
1000 3.50344e+06 559486 3.94478 3.94398 3.93008 0.000667536 0.00246609 -0.0014162 971037 1.29968e+06 673237 2.93817e-35 
2000 3.49542e+06 552532 3.96003 3.95862 3.91898 -0.00090579 -6.48857e-05 0.00199341 1.01204e+06 1.21915e+06 711696 2.93817e-35 
3000 3.49728e+06 554601 3.96626 3.96806 3.89747 0.000416775 0.00027663 0.000279874 1.0566e+06 1.13177e+06 754311 2.93817e-35 
4000 3.50185e+06 559522 3.97058 3.97188 3.87441 0.000892456 -0.00181858 0.00182383 1.10044e+06 1.04658e+06 795303 2.93817e-35 
5000 3.50633e+06 563805 3.97378 3.97279 3.85733 6.05823e-05 0.0010696 0.000195845 1.13762e+06 972227 832678 2.93817e-35 
6000 3.50965e+06 567294 3.97675 3.97604 3.84079 -0.000677909 0.000333948 0.000151612 1.17196e+06 905583 864815 2.93817e-35 
7000 3.51475e+06 572592 3.97634 3.97644 3.82401 -2.56467e-05 -2.44713e-05 0.000345504 1.19994e+06 849739 892477 2.93817e-35 
8000 3.51994e+06 577790 3.97656 3.9757 3.80903 -0.000580936 0.00160806 -0.00172251 1.22477e+06 800591 916790 2.93817e-35 
9000 3.52296e+06 581019 3.9762 3.97584 3.7997 8.06719e-05 -0.000364129 0.00067242 1.24595e+06 759187 936799 2.93817e-35 
10000 3.52454e+06 582541 3.97916 3.97603 3.79253 0.000580151 0.000346566 0.00105872 1.26344e+06 725068 953490 2.93817e-35 
11000 3.52604e+06 584176 3.97864 3.9791 3.78438 -0.000110516 -0.000486623 -0.000746119 1.2756e+06 699224 967039 2.93817e-35 
12000 3.52944e+06 587011 3.97981 3.97347 3.78087 -0.000984804 0.000528659 0.00081575 1.2911e+06 672615 978713 2.93817e-35 
13000 3.52851e+06 586677 3.97994 3.98099 3.77449 -0.000607436 0.00251213 0.00032704 1.29957e+06 654771 987485 2.93817e-35 
14000 3.53132e+06 589560 3.97913 3.97755 3.76897 -0.000364408 0.00144081 0.00175697 1.3064e+06 639139 996221 2.93817e-35 
15000 3.53186e+06 589985 3.97996 3.98029 3.76491 0.000505885 8.25046e-05 0.00162011 1.31365e+06 625621 1.00261e+06 2.93817e-35 
16000 3.5323e+06 590403 3.98036 3.98091 3.76205 0.00041512 0.000664018 -0.000637385 1.3213e+06 611311 1.00928e+06 2.93817e-35 
17000 3.53409e+06 592234 3.97814 3.97877 3.76139 0.000394095 0.00152404 0.000447515 1.32749e+06 599709 1.01466e+06 2.93817e-35 
18000 3.5337e+06 591685 3.97836 3.98148 3.75997 -0.000463769 0.000962647 0.000969572 1.33059e+06 592741 1.01868e+06 2.93817e-35 
