# step Upe Ubond  Pxx Pyy Pzz Pxy Pxz Pyz Ugauss[0] Ugauss[1] Ugauss[2] 
0 4.57143e+06 1.13796e+06 3.5974 3.58179 3.59049 -0.00238776 -0.000690093 -0.00137453 1.12625e+06 1.52357e+06 783652 2.93817e-35 
1000 3.50023e+06 556090 3.94533 3.94417 3.93884 0.0014023 -0.000306473 0.000825789 960612 1.31898e+06 664554 2.93817e-35 
2000 3.48709e+06 543978 3.96211 3.95895 3.94182 0.00130924 -5.67026e-05 0.00143481 979144 1.28195e+06 682015 2.93817e-35 
3000 3.48588e+06 542934 3.96657 3.96361 3.93516 -2.22584e-06 0.000464061 0.000982234 999690 1.24167e+06 701584 2.93817e-35 
4000 3.48863e+06 545999 3.96777 3.96737 3.92184 0.000525544 -5.80385e-05 3.53529e-05 1.01964e+06 1.20228e+06 720713 2.93817e-35 
5000 3.49011e+06 547270 3.96973 3.96892 3.91395 -0.000844918 0.00126824 0.00209242 1.03834e+06 1.16654e+06 737966 2.93817e-35 
6000 3.49056e+06 547988 3.97219 3.97274 3.90591 0.000180673 -7.07587e-06 0.000595638 1.05363e+06 1.13454e+06 754400 2.93817e-35 
7000 3.49359e+06 550909 3.97219 3.97368 3.89528 0.00190173 -0.000186405 0.000642364 1.06669e+06 1.10962e+06 766362 2.93817e-35 
8000 3.49471e+06 552180 3.97256 3.97241 3.89265 0.000900671 -0.000175279 0.00105944 1.07914e+06 1.08533e+06 778066 2.93817e-35 
9000 3.49666e+06 554228 3.97321 3.97396 3.88437 0.000202299 -0.000274548 0.00105784 1.0885e+06 1.06625e+06 787679 2.93817e-35 
10000 3.49762e+06 555338 3.97453 3.97405 3.88029 -0.000440068 -0.000361837 0.000758382 1.09624e+06 1.05129e+06 794748 2.93817e-35 
11000 3.49951e+06 557362 3.97282 3.97474 3.87428 0.0016305 0.000857852 0.000659066 1.10369e+06 1.0355e+06 802954 2.93817e-35 
